"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"1.35","0.5324681","0.04486667","1.35","23.15044","0.0449","1.35","17.96087","0.04486667","1.35","27.63271","0.04493333"
"1.36","0.5261104","0.0452","1.36","23.15362","0.0452","1.36","17.93226","0.04523334","1.36","27.61682","0.04526667"
"1.37","0.538826","0.04553333","1.37","23.16157","0.04556667","1.37","17.89729","0.0456","1.37","27.61205","0.0456"
"1.38","0.5531311","0.04586667","1.38","23.14568","0.0459","1.38","17.87663","0.04596667","1.38","27.61523","0.04593333"
"1.39","0.5531311","0.0462","1.39","23.11707","0.04623333","1.39","17.87663","0.0463","1.39","27.61523","0.04623333"
"1.4","0.5372365","0.04653334","1.4","23.09481","0.0466","1.4","17.89729","0.0466","1.4","27.61046","0.04656667"
"1.41","0.5118052","0.0469","1.41","23.0821","0.04693333","1.41","17.96087","0.0469","1.41","27.59139","0.0469"
"1.42","0.4959106","0.04723334","1.42","23.07097","0.04726667","1.42","18.06895","0.04723334","1.42","27.56278","0.04723334"
"1.43","0.4990896","0.04756667","1.43","23.06143","0.0476","1.43","18.1818","0.04753333","1.43","27.54053","0.04756667"
"1.44","0.5086263","0.0479","1.44","23.04713","0.04793333","1.44","18.26922","0.0479","1.44","27.5294","0.0479"
"1.45","0.5086263","0.0482","1.45","23.02806","0.04823333","1.45","18.32167","0.04826667","1.45","27.52463","0.04826667"
"1.46","0.5038579","0.04853334","1.46","22.99627","0.04856667","1.46","18.33439","0.04856667","1.46","27.52304","0.0486"
"1.47","0.5054474","0.0489","1.47","22.96289","0.0489","1.47","18.29306","0.0489","1.47","27.52304","0.04893333"
"1.48","0.518163","0.04923333","1.48","22.93905","0.04923333","1.48","18.21041","0.04923333","1.48","27.51509","0.04926667"
"1.49","0.5292892","0.04956667","1.49","22.92951","0.04956667","1.49","18.13094","0.04956667","1.49","27.49125","0.0496"
"1.5","0.5324681","0.0499","1.5","22.91679","0.0499","1.5","18.09756","0.0499","1.5","27.469","0.04993333"
"1.51","0.5324681","0.05026667","1.51","22.90567","0.05026667","1.51","18.12299","0.0502","1.51","27.45787","0.05026667"
"1.52","0.5340576","0.0506","1.52","22.89295","0.0506","1.52","18.20246","0.05056667","1.52","27.4531","0.0506"
"1.53","0.5261104","0.05093333","1.53","22.87547","0.05093333","1.53","18.3169","0.0509","1.53","27.44039","0.05093333"
"1.54","0.521342","0.05126667","1.54","22.8548","0.05123333","1.54","18.42658","0.05123333","1.54","27.41973","0.05126667"
"1.55","0.5261104","0.0516","1.55","22.83891","0.05153333","1.55","18.51241","0.0516","1.55","27.39429","0.0516"
"1.56","0.5420049","0.0519","1.56","22.83255","0.05186667","1.56","18.56009","0.05193333","1.56","27.3784","0.05193333"
"1.57","0.5467733","0.05223333","1.57","22.80553","0.0522","1.57","18.57122","0.05223333","1.57","27.37522","0.05226667"
"1.58","0.538826","0.05253333","1.58","22.76421","0.05256667","1.58","18.55055","0.0526","1.58","27.37522","0.0526"
"1.59","0.5324681","0.05286667","1.59","22.73878","0.05293334","1.59","18.51241","0.05293334","1.59","27.3784","0.05293334"
"1.6","0.5324681","0.0532","1.6","22.73878","0.05326667","1.6","18.49333","0.05323333","1.6","27.37045","0.05326667"
"1.61","0.5420049","0.05353333","1.61","22.74354","0.05363333","1.61","18.53307","0.05356667","1.61","27.35774","0.0536"
"1.62","0.5531311","0.0539","1.62","22.73401","0.05396667","1.62","18.62526","0.0539","1.62","27.34184","0.05393333"
"1.63","0.5626678","0.05423333","1.63","22.71652","0.05426667","1.63","18.74129","0.05423333","1.63","27.32913","0.05426667"
"1.64","0.5674362","0.05456667","1.64","22.70857","0.05456667","1.64","18.84142","0.05456667","1.64","27.31164","0.05463333"
"1.65","0.5626678","0.0549","1.65","22.69745","0.0549","1.65","18.91613","0.0549","1.65","27.29575","0.05496667"
"1.66","0.5467733","0.05523333","1.66","22.6752","0.05523333","1.66","18.95905","0.05526667","1.66","27.29575","0.0553"
"1.67","0.5324681","0.05556667","1.67","22.64341","0.05556667","1.67","18.97812","0.0556","1.67","27.3037","0.05563333"
"1.68","0.5245209","0.0559","1.68","22.62115","0.05586667","1.68","18.97812","0.05596667","1.68","27.30052","0.05596667"
"1.69","0.518163","0.05623334","1.69","22.61321","0.0562","1.69","18.97494","0.0563","1.69","27.2878","0.05626667"
"1.7","0.5165736","0.05653333","1.7","22.60844","0.05653333","1.7","18.97017","0.05666667","1.7","27.28621","0.05663333"
"1.71","0.5165736","0.0569","1.71","22.59572","0.05686667","1.71","18.94474","0.05696667","1.71","27.28621","0.05693333"
"1.72","0.521342","0.05723333","1.72","22.58142","0.05723333","1.72","18.90341","0.05726667","1.72","27.25919","0.0573"
